DEPTID,DEPARTMENT,Wpop2015,WpopBirths2015,UrbanPop,MeanGCP_2005USD,MeanTraveltime
11,BOGOT,7644472.884,136762.284,6395566.529,9562.675747,17.01248126
13,BOLVAR,2063923.988,38126.32156,712383.659,5098.066109,138.7170727
15,BOYAC,1278346.921,18176.61048,242792.0677,6193.97161,139.6537938
17,CALDAS,992347.2584,11583.6682,224210.0385,6171.50086,74.51326819
18,CAQUET,469809.5832,8267.524806,20913.02721,5174.262744,490.7699204
19,CAUCA,1366467.517,18172.2916,137010.6311,4400.935045,171.9854802
20,CESAR,1011669.548,23974.20265,150683.7966,4755.26308,148.1845643
23,CRDOBA,1663801.852,30620.12519,187778.805,4394.368005,113.0233417
25,CUNDINAMARCA,2692589.87,27182.71559,536476.9828,8899.043204,58.91618346
27,CHOC,505204.707,6274.413415,3388.748478,5813.497439,515.3205247
41,HUILA,1123032.196,23293.40625,227162.5571,6103.976339,146.4163023
44,LA GUAJIRA,907404.1501,15820.56826,135695.0096,8436.492992,117.6018933
47,MAGDALENA,1237332.2,24496.15816,239781.3586,4937.685325,121.7209699
50,META,933004.3556,19154.42243,178078.4081,7701.414892,237.008201
52,NARIO,1700283.096,20421.54309,208322.8353,3156.715967,251.5123976
54,NORTE DE SANTANDER,1342967.82,22854.7069,506426.4205,5786.629329,80.6595794
63,QUINDIO,563272.4916,7212.814364,117434.9441,5768.126758,24.95287411
66,RISARALDA,948761.2122,13237.72908,252459.5484,5830.449541,49.70451047
68,SANTANDER,2062652.236,36836.7331,614980.0818,6586.77038,78.14486487
70,SUCRE,839662.9646,17813.07544,124498.3022,3688.640435,73.87821734
73,TOLIMA,1410800.743,19528.72628,245654.112,6701.401035,144.7911388
76,VALLE DEL CAUCA,4566024.464,61743.97833,1809298.28,7323.458136,63.87713524
81,ARAUCA,257314.9952,4920.631977,25194.42214,27477.40468,552.442315
85,CASANARE,345071.2572,7409.531009,38986.60648,10316.53973,314.3520169
86,PUTUMAYO,339813.8704,4678.540373,9862.461797,3933.78245,722.7039949
88,"ARCHIPILAGO DE SAN ANDRS, PROVIDENCIA Y SANTA CATALINA",73870.35758,965.133883,2788.11742,10379.32151,500.7619098
91,AMAZONAS,72495.01623,1308.781539,3044.779517,4190.236913,2664.496255
94,GUAINIA,40064.7399,606.8650566,33.66091207,4228.592851,3974.101013
95,GUAVIARE,108458.6261,1371.384126,7110.850344,7263.547779,1259.570013
97,VAUPES,42942.29618,351.8337232,151.5946793,4315.255509,3153.766067
99,VICHADA,68675.91274,703.3063479,248.0273854,6869.528856,1403.425579
999,NN,3994.192522,37.40853225,0,3840.210408,265.7428717
5,ANTIOQUIA,6363512.734,87543.86671,2611455.104,7931.419829,91.76714271
8,ATLANTICO,2449641.793,48755.86062,1659897.56,5045.12153,12.32085521